調査年 コード,調査年,地域 コード,地域,/項目,A6103_流出人口（県内他市区町村で従業・通学している人口）【人】,注釈,lat,lon,市町村
2020100000,2020年度,4105,宮城県 仙台市 泉区,,"55,148",,38.326344,140.881287,仙台市 泉区
2020100000,2020年度,4202,宮城県 石巻市,,"12,057",,38.43425,141.302734,石巻市
2020100000,2020年度,4203,宮城県 塩竈市,,"14,569",,38.314342,141.022064,塩竈市
2020100000,2020年度,4205,宮城県 気仙沼市,,970,,38.90807,141.570068,気仙沼市
2020100000,2020年度,4206,宮城県 白石市,,"5,400",,38.002445,140.619904,白石市
2020100000,2020年度,4207,宮城県 名取市,,"23,416",,38.171368,140.891953,名取市
2020100000,2020年度,4208,宮城県 角田市,,"5,862",,37.97702,140.781662,角田市
2020100000,2020年度,4209,宮城県 多賀城市,,"19,213",,38.293839,141.004379,多賀城市
2020100000,2020年度,4211,宮城県 岩沼市,,"12,035",,38.104275,140.870193,岩沼市
2020100000,2020年度,4212,宮城県 登米市,,"8,741",,38.691895,141.187683,登米市
2020100000,2020年度,4213,宮城県 栗原市,,"6,052",,38.730076,141.021271,栗原市
2020100000,2020年度,4214,宮城県 東松島市,,"10,766",,38.426266,141.210632,東松島市
2020100000,2020年度,4215,宮城県 大崎市,,"20,001",,38.577541,140.955719,大崎市
2020100000,2020年度,4216,宮城県 富谷市,,"19,528",,38.399933,140.895432,富谷市
2020100000,2020年度,4301,宮城県 蔵王町,,"2,920",,38.098026,140.658783,蔵王町
2020100000,2020年度,4302,宮城県 七ヶ宿町,,113,,37.992992,140.44165,七ヶ宿町
2020100000,2020年度,4321,宮城県 大河原町,,"7,369",,38.049351,140.730865,大河原町
2020100000,2020年度,4322,宮城県 村田町,,"3,219",,38.118534,140.722427,村田町
2020100000,2020年度,4323,宮城県 柴田町,,"11,525",,38.056583,140.76593,柴田町
2020100000,2020年度,4324,宮城県 川崎町,,"1,842",,38.177757,140.643158,川崎町
2020100000,2020年度,4341,宮城県 丸森町,,"2,317",,37.911526,140.765427,丸森町
2020100000,2020年度,4361,宮城県 亘理町,,"9,691",,38.044262,140.86792,亘理町
2020100000,2020年度,4362,宮城県 山元町,,"2,545",,37.962704,140.878098,山元町
2020100000,2020年度,4401,宮城県 松島町,,"3,938",,38.380192,141.067368,松島町
2020100000,2020年度,4404,宮城県 七ヶ浜町,,"7,153",,38.304558,141.059204,七ヶ浜町
2020100000,2020年度,4406,宮城県 利府町,,"12,665",,38.330269,140.975601,利府町
2020100000,2020年度,4421,宮城県 大和町,,"8,064",,38.437382,140.886383,大和町
2020100000,2020年度,4422,宮城県 大郷町,,"2,235",,38.42429,141.004501,大郷町
2020100000,2020年度,4424,宮城県 大衡村,,"1,696",,38.467224,140.879913,大衡村
2020100000,2020年度,4444,宮城県 色麻町,,"2,022",,38.548878,140.850037,色麻町
2020100000,2020年度,4445,宮城県 加美町,,"4,889",,38.571732,140.854858,加美町
2020100000,2020年度,4501,宮城県 涌谷町,,"4,223",,38.539669,141.128174,涌谷町
2020100000,2020年度,4505,宮城県 美里町,,"7,340",,38.544426,141.056793,美里町
2020100000,2020年度,4581,宮城県 女川町,,836,,38.445511,141.443115,女川町
2020100000,2020年度,4606,宮城県 南三陸町,,"1,319",,38.680717,141.462509,南三陸町
2020100000,2020年度,5201,秋田県 秋田市,,"7,626",,39.719959,140.103516,秋田市
2020100000,2020年度,5202,秋田県 能代市,,"3,028",,40.211853,140.027084,能代市
2020100000,2020年度,5203,秋田県 横手市,,"6,663",,39.313801,140.566711,横手市
2020100000,2020年度,5204,秋田県 大館市,,"2,368",,40.271687,140.565247,大館市
2020100000,2020年度,5206,秋田県 男鹿市,,"3,477",,39.886765,139.847549,男鹿市
2020100000,2020年度,5207,秋田県 湯沢市,,"4,557",,39.164333,140.495697,湯沢市
2020100000,2020年度,5209,秋田県 鹿角市,,"2,123",,40.215794,140.788544,鹿角市
2020100000,2020年度,5210,秋田県 由利本荘市,,"5,658",,39.385826,140.048904,由利本荘市
2020100000,2020年度,5211,秋田県 潟上市,,"9,016",,39.857227,140.013046,潟上市
2020100000,2020年度,5212,秋田県 大仙市,,"8,925",,39.453049,140.475571,大仙市
2020100000,2020年度,5213,秋田県 北秋田市,,"2,529",,40.226074,140.370712,北秋田市
