stat_type,key,accident_count
municipality,指宿市,1
municipality,掛川市,25
municipality,揖保郡太子町,1
municipality,揖斐郡揖斐川町,1
municipality,揖斐郡池田町,1
municipality,摂津市,15
municipality,敦賀市,37
municipality,文京区,34
municipality,斜里郡小清水町,1
municipality,斜里郡斜里町,5
municipality,斜里郡清里町,2
municipality,新冠郡新冠町,2
municipality,新千歳空港...,1
municipality,新名神高速...,1
municipality,新城市,21
municipality,新宮市,3
municipality,新宿区,107
municipality,新居浜市,1
municipality,新庄市,5
municipality,新座市,28
municipality,新潟市,131
municipality,新潟県新潟市,1
municipality,新潟県村,1
municipality,新潟県柏崎市,1
municipality,新潟県糸魚川市,3
municipality,新発田市,15
municipality,新見市,4
municipality,新見郡桑原町,1
municipality,新貝市,1
municipality,日光市,19
municipality,日南市,3
municipality,日向市,3
municipality,日田市,6
municipality,日立市,87
municipality,日置市,1
municipality,日進市,4
municipality,日野市,34
municipality,日野郡江府町,2
municipality,日高市,9
municipality,日高郡みなべ町,1
municipality,日高郡印南町,1
municipality,日高郡新ひだか町,1
municipality,早良区,1
municipality,旭区,1
municipality,旭川市,46
municipality,旭市,11
municipality,明石市,1
municipality,春日井市,25
municipality,春日部市,19
municipality,昭島市,6
municipality,曽於市,5
municipality,曽於郡大崎町,4
municipality,最上郡戸沢村,6
municipality,最上郡最上町,5
municipality,最上郡舟形町,3
municipality,最上郡金山町,4
municipality,最上郡鮭川村,1
municipality,有珠郡壮瞥町,3
municipality,朝倉市,3
municipality,朝倉郡筑前町,2
municipality,朝霞市,21
municipality,木更津市,31
municipality,木曽市,1
municipality,木曽郡上松町,5
municipality,木曽郡南木曽町,1
municipality,木曽郡大桑村,4
municipality,木曽郡木曽福島町,1
municipality,木曽郡木祖村,1
municipality,木津川市,2
municipality,木津市,1
municipality,本保町,1
municipality,本吉郡南三陸町,8
municipality,本宮...,1
municipality,本宮市,13
municipality,本巣市,3
municipality,本庄市,12
municipality,札幌北区,1
municipality,札幌市,661
municipality,杉並区,97
municipality,村上市,5
municipality,村上町,1
municipality,村山市,6
municipality,村田郡...,1
municipality,東みよし町,1
municipality,東久留米市,21
municipality,東京杉並永...,1
municipality,東京都杉並区,2
municipality,東京都練馬区,1
municipality,東京都足立区,1
municipality,東伯郡三朝町,1
municipality,東八代郡鰍沢町,1
municipality,東北上り３６９．６（路肩）【宮城県大崎市,1
municipality,東北自動車...,1
municipality,東卸市,1
municipality,東名阪自動...,1
municipality,東名高速道...,2
municipality,東品川４−...,1
municipality,東大和市,10
municipality,東大阪市,29
municipality,東山区,1
municipality,東広島市,8
municipality,東彼杵郡千...,1
municipality,東彼杵郡東彼杵町,2
municipality,東御市,7
municipality,東村,23
municipality,東松山市,12
municipality,東松島市,17
municipality,東根市,6
municipality,東津軽郡平内町,1
municipality,東海市,9
municipality,東海道国道...,1
municipality,東淀川区,1
municipality,東牟婁郡那智勝浦町,1
municipality,東田川郡三川町,2
municipality,東田川郡庄内町,6
municipality,東白川郡棚倉町,2
municipality,東筑摩郡生坂村,1
municipality,東筑摩郡筑北村,1
municipality,東筑摩郡筑北町,1
municipality,東置賜市,1
municipality,東置賜郡川西町,2
municipality,東置賜郡高畠町,2
municipality,東臼杵郡諸塚村,1
municipality,東臼杵郡門川町,1
municipality,東茨城郡城里町,6
municipality,東茨城郡大洗町,5
