"調査年 コード","調査年","地域 コード","地域","/項目","A6103_流出人口（県内他市区町村で従業・通学している人口）【人】","注釈"
"2020100000","2020年度","06205","山形県 新庄市","","3,296",""
"2020100000","2020年度","06206","山形県 寒河江市","","10,006",""
"2020100000","2020年度","06207","山形県 上山市","","6,693",""
"2020100000","2020年度","06208","山形県 村山市","","5,775",""
"2020100000","2020年度","06209","山形県 長井市","","4,343",""
"2020100000","2020年度","06210","山形県 天童市","","15,524",""
"2020100000","2020年度","06211","山形県 東根市","","10,003",""
"2020100000","2020年度","06212","山形県 尾花沢市","","2,536",""
"2020100000","2020年度","06213","山形県 南陽市","","6,736",""
"2020100000","2020年度","06301","山形県 山辺町","","5,017",""
"2020100000","2020年度","06302","山形県 中山町","","4,083",""
"2020100000","2020年度","06321","山形県 河北町","","5,267",""
"2020100000","2020年度","06322","山形県 西川町","","1,313",""
"2020100000","2020年度","06323","山形県 朝日町","","1,475",""
"2020100000","2020年度","06324","山形県 大江町","","2,316",""
"2020100000","2020年度","06341","山形県 大石田町","","1,940",""
"2020100000","2020年度","06361","山形県 金山町","","1,215",""
"2020100000","2020年度","06362","山形県 最上町","","1,083",""
"2020100000","2020年度","06363","山形県 舟形町","","1,335",""
"2020100000","2020年度","06364","山形県 真室川町","","1,666",""
"2020100000","2020年度","06365","山形県 大蔵村","","814",""
"2020100000","2020年度","06366","山形県 鮭川村","","1,072",""
"2020100000","2020年度","06367","山形県 戸沢村","","1,087",""
"2020100000","2020年度","06381","山形県 高畠町","","6,181",""
"2020100000","2020年度","06382","山形県 川西町","","3,841",""
"2020100000","2020年度","06401","山形県 小国町","","327",""
"2020100000","2020年度","06402","山形県 白鷹町","","2,767",""
"2020100000","2020年度","06403","山形県 飯豊町","","1,783",""
"2020100000","2020年度","06426","山形県 三川町","","2,430",""
"2020100000","2020年度","06428","山形県 庄内町","","5,835",""
"2020100000","2020年度","06461","山形県 遊佐町","","3,298",""
"2020100000","2020年度","07201","福島県 福島市","","15,511",""
"2020100000","2020年度","07202","福島県 会津若松市","","8,188",""
"2020100000","2020年度","07203","福島県 郡山市","","20,912",""
"2020100000","2020年度","07204","福島県 いわき市","","8,723",""
"2020100000","2020年度","07205","福島県 白河市","","8,994",""
"2020100000","2020年度","07207","福島県 須賀川市","","14,863",""
"2020100000","2020年度","07208","福島県 喜多方市","","6,219",""
"2020100000","2020年度","07209","福島県 相馬市","","4,064",""
"2020100000","2020年度","07210","福島県 二本松市","","10,047",""
"2020100000","2020年度","07211","福島県 田村市","","6,225",""
"2020100000","2020年度","07212","福島県 南相馬市","","4,251",""
"2020100000","2020年度","07213","福島県 伊達市","","12,228",""
"2020100000","2020年度","07214","福島県 本宮市","","7,826",""
"2020100000","2020年度","07301","福島県 桑折町","","3,203",""
