OCCURRENCE_DATE_AND_TIME,WEATHER,LOCATION,LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,SPEED_LIMIT_ON_ROAD,VEHICLE_BEHAVIOR_AT_ACCIDENT,ACCIDENT_LOCATION,VEHICLE_1:_BODY_TYPE,Area
2019-01-17 11:50:00,晴れ,足柄下郡箱根町仙台原１２５１,35.2606,139.00455,衝突,道路(その他),40.0,直進(定速),車道,リヤーエンジン,足柄下郡箱根町
2019-01-17 13:33:00,晴れ,大阪市大正区鶴町２丁目１１番先,34.63669,135.45572,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,大阪市
2019-01-17 14:00:00,雪,夕張郡栗山町中央２丁目,43.05974,141.77904,車両故障,道路(その他),40.0,直進(定速),バス停留所,リヤーエンジン,夕張郡栗山町
2019-01-17 14:45:00,晴れ,国東市国東町横手,33.5732,131.65329,転落,道路(その他),60.0,直進(定速),車道,バン,国東市
2019-01-17 15:23:00,晴れ,神栖市筒井１８４７,35.90506,140.62886,車内,道路(その他),60.0,直進(加速),車道,リヤーエンジン,神栖市
2019-01-17 16:33:00,晴れ,伊東市川奈６９９−２,34.95127,139.13396,車両故障,道路(その他),60.0,直進(加速),バス停留所,リヤーエンジン,伊東市
2019-01-17 21:15:00,雨,仙台市青葉区一番町４丁目１−３,38.26321,140.87271,衝突,道路(その他),50.0,左折,車道,箱型,仙台市
2019-01-17 21:50:00,雪,上越市大潟町蜘ヶ池,37.23105,138.32996,火災,道路(高速自動車国道),80.0,直進(定速),路肩,バン,上越市
2019-01-17 23:06:00,雪,栗原市金成藤渡戸字的場１６７−１　金成ＰＡ上り線,38.85468,141.0939,火災,道路(高速自動車国道),50.0,直進(定速),車道,冷蔵冷凍車,栗原市
2019-01-18 06:10:00,曇,大阪市大正区南恩加島６丁目１７番先,34.63545,135.46402,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,大阪市
2019-01-18 07:13:00,晴れ,名古屋市港区善進本町１,35.10358,136.85632,車内,その他の場所,,右折,交差点,リヤーエンジン,名古屋市
2019-01-18 07:35:00,曇,さいたま市南区別所３−５−４　浦８１系統浦和駅西口行,35.85297,139.64735,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,さいたま市
2019-01-18 08:58:00,晴れ,札幌市南区真駒内曙町１丁目５,43.0023,141.35078,車両故障,道路(その他),50.0,直進(定速),車道,リヤーエンジン,札幌市
2019-01-18 10:55:00,曇,札幌市中央区南５条西５丁目,43.054,141.35146,車両故障,道路(その他),50.0,直進(減速),車道,リヤーエンジン,札幌市
2019-01-18 12:20:00,晴れ,釜石市平田第３地割,39.24812,141.88875,死傷,道路(その他),50.0,直進(加速),車道,トラクタ,釜石市
2019-01-18 12:30:00,晴れ,大阪市鶴見区茨田大宮４丁目３０番先,34.71339,135.59679,車両故障,道路(その他),30.0,停車,バス停留所,リヤーエンジン,大阪市
2019-01-18 14:10:00,晴れ,中津市中央町１丁目２−１０（中津警察署前路上）,33.5943,131.19196,車内,道路(その他),50.0,直進(加速),車道,リヤーエンジン,中津市
2019-01-18 14:35:00,晴れ,江東区大島町８−４０,35.68718,139.82343,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,江東区
2019-01-18 16:10:00,晴れ,駿東郡小山町７２−２,35.36011,138.98729,飲酒等(酒気帯び),その他の場所,,後退,その他,バン,駿東郡小山町
2019-01-18 16:20:00,曇,京都市西京区西一川町８番地,34.98503,135.69312,車両故障,道路(その他),,停車,バス停留所,リヤーエンジン,京都市
2019-01-18 17:05:00,晴れ,横浜市緑区中山町９３−１,35.51601,139.53989,車両故障,道路(その他),50.0,直進(減速),車道,リヤーエンジン,横浜市
2019-01-18 17:07:00,晴れ,市川市東国分２−１番地先,35.74509,139.92296,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,市川市
2019-01-18 19:35:00,晴れ,鯖江市一新町,35.95657,136.18423,車両故障,道路(高速自動車国道),80.0,直進(定速),車道,バン,鯖江市
2019-01-19 00:23:00,晴れ,台東区上野６−１,35.7081,139.77596,救護違反,道路(その他),40.0,直進(減速),車道,箱型,台東区
2019-01-19 03:30:00,晴れ,三原市久井町坂井原　三原久井インター手前,34.48337,133.03787,車両故障,道路(高速自動車国道),100.0,直進(定速),車道,リヤーエンジン,三原市
2019-01-19 04:30:00,晴れ,新宿区新宿７−３,35.70022,139.7132,衝突,道路(その他),50.0,右折,交差点,箱型,新宿区
2019-01-19 07:50:00,晴れ,練馬区田柄５−５,35.7551,139.63254,健康起因,道路(その他),40.0,停車,車道,リヤーエンジン,練馬区
2019-01-19 12:57:00,晴れ,板橋区志村３−２６−８,35.77845,139.68677,車内,道路(その他),60.0,直進(減速),バス停留所,リヤーエンジン,板橋区
2019-01-19 13:45:00,曇,霧島市溝辺町溝辺麓,31.8503,130.69365,火災,道路(その他),30.0,停車,バス停留所,リヤーエンジン,霧島市
2019-01-19 16:30:00,晴れ,二戸市金田一町,40.32054,141.31842,車両故障,その他の場所,,駐車,その他,キャブオーバ,二戸市
2019-01-19 17:20:00,晴れ,小郡市井上九州横断自動車道下り３．７�qポスト先路上,33.40481,130.5777,火災,道路(高速自動車国道),80.0,直進(定速),車道,高所作業車,小郡市
2019-01-19 18:20:00,晴れ,港区高輪３付近,35.63211,139.7373,車両故障,道路(その他),60.0,直進(減速),車道,リヤーエンジン,港区
2019-01-20 00:10:00,晴れ,豊島区東池袋３丁目１−３,35.72929,139.71919,車両故障,その他の場所,,直進(加速),車道,リヤーエンジン,豊島区
2019-01-20 03:09:00,晴れ,豊島区高松１−９　中央環状線外回り（山手トンネル内）,35.73581,139.70007,健康起因,道路(自動車専用道路等),60.0,直進(定速),路肩,冷蔵冷凍車,豊島区
2019-01-20 08:50:00,晴れ,ひたちなか市勝田本町地内,36.39163,140.52095,車両故障,その他の場所,,駐車,バス停留所,リヤーエンジン,ひたちなか市
2019-01-20 09:10:00,晴れ,あきる野市伊那町１４９０,35.7305,139.25093,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,あきる野市
2019-01-20 09:15:00,晴れ,江東区有明２−２,35.63533,139.78816,車両故障,道路(その他),50.0,直進(定速),車道,リヤーエンジン,江東区
2019-01-20 12:35:00,晴れ,ひたちなか市勝田泉町地内,36.39172,140.52522,車両故障,道路(その他),30.0,停車,バス停留所,リヤーエンジン,ひたちなか市
2019-01-20 12:45:00,曇,伊勢市上地長２５６４,34.49226,136.6597,火災,道路(その他),50.0,駐車,路肩,キャブオーバ,伊勢市
2019-01-20 14:14:00,晴れ,江戸川区中葛西町１−４９,35.67138,139.86949,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,江戸川区
2019-01-20 17:00:00,晴れ,三鷹市上連雀８丁目,35.68613,139.55688,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,三鷹市
2019-01-21 00:50:00,晴れ,東近江市平柳町,35.14614,136.29024,車両故障,道路(その他),50.0,直進(定速),車道,トラクタ,東近江市
2019-01-21 01:00:00,晴れ,南アルプス市荊沢１３５８−３,35.57824,138.46722,衝突,道路(その他),50.0,直進(定速),車道,バン,南アルプス市
2019-01-21 06:10:00,晴れ,名古屋市守山区四軒家１丁１３０１番地,35.19479,137.01192,衝突,道路(その他),50.0,停車,車道,リヤーエンジン,名古屋市
2019-01-21 12:10:00,曇,勇払郡厚真町共和付近,42.64605,141.82727,車内,道路(その他),60.0,直進(定速),車道,リヤーエンジン,勇払郡厚真町
2019-01-21 14:06:00,晴れ,名古屋市熱田区白鳥二丁目１０−４５番地,35.12693,136.90619,車内,道路(その他),60.0,停車,バス停留所,リヤーエンジン,名古屋市
2019-01-21 15:30:00,晴れ,横浜市西久浜松町１３−３,35.45361,139.61688,車内,道路(その他),60.0,直進(加速),交差点,リヤーエンジン,横浜市
2019-01-21 16:38:00,晴れ,茅ヶ崎市小和田３−２−３５,35.34275,139.43864,死傷,道路(その他),40.0,直進(減速),車道,バン,茅ヶ崎市
2019-01-21 16:40:00,雪,千歳市美笛（美笛除雪ＳＴ向かいのパーキング）,42.71334,141.22127,車両故障,道路(高速自動車国道),40.0,直進(定速),車道,トラクタ,千歳市
2019-01-21 17:10:00,雨,揖斐郡揖斐川町谷汲名札　揖斐川町立谷汲中学校西付近,35.52377,136.59174,死傷,道路(その他),50.0,直進(減速),横断歩道,箱型,揖斐郡揖斐川町
2019-01-21 17:30:00,晴れ,八王子市元本郷町３−１２先,35.66458,139.31477,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,八王子市
